codice;descrizione;um;prezzo_listino;pz_conf;min_vend;prezzo_unitario;stato;note;pagina
H02405;SC156-HI SERR. L&S E=27,5 HA 2270-2825;CF;206.86;1.0;1.0;206.86;Attivo - gestito;;14
H02407;SC156-HI L&S E=27,5 HA 2114-2612 (4A);CF;72.72;1.0;1.0;72.72;Attivo - gestito;;15
H02408;SC156-HI KIT INCONTRO E FISSAGGIO;CF;20.74;1.0;1.0;20.74;Attivo - gestito;;15
H02500;PIASTRA DI FISS. INCON X ANTIEFFR. SC156;CF;21.4;3.0;1.0;7.133;Attivo - gestito;;15
H02600;MECC. FIN. ALZ.SC.ANTA H=1235-1925 SC156;CF;252.71;1.0;1.0;252.71;Attivo - gestito;;15
H02601;MECC POR. ALZ.SC. ANTA H=1835-2525 SC156;CF;252.71;1.0;1.0;252.71;Attivo - gestito;;15
H02602;MECC POR. ALZ.SC. ANTA H=2270-2825 SC156;CF;347.08;1.0;1.0;347.08;Attivo - gestito;;15
H02605;KIT INC.CENTR.DX PER ANTA SCORREVOLE OXO;CF;15.86;1.0;1.0;15.856;Attivo - gestito;;15
H02606;KIT INC.CENTR.SX PER ANTA SCORREVOLE OXO;CF;15.86;1.0;1.0;15.856;Attivo - gestito;;15
H02609;KIT INC. CENTRALE DX LATO MAN. PER ANT;CF;19.64;1.0;1.0;19.644;Attivo - gestito;;15
H02610;KIT INC. CENTRALE SX LATO MAN. PER ANT;CF;19.64;1.0;1.0;19.644;Attivo - gestito;;15
H02900;KIT SUPPORTO ANTA FISSA SC156;CF;4.75;1.0;1.0;4.751;Attivo - gestito;;15
H02907;SC156-HI ASTA DI COLLEG.L939(LA740-1600);CF;9.61;1.0;1.0;9.605;Attivo - gestito;;15
H02908;SC156-HI ASTA COLLEGA.L1939(LA1601-2600);CF;17.0;1.0;1.0;16.995;Attivo - gestito;;15
H02909;SC156-HI ASTA COLLEG.L2674(LA2601-3335);CF;23.73;1.0;1.0;23.73;Attivo - gestito;;15
H10102-B1;MANIGLIA INCASSO PER SCORREVOLE NERA;CF;13.81;1.0;1.0;13.807;Attivo - gestito;;15
H10102-S1;MANIGLIA INCASSO PER SCORREVOLE ARG.;CF;13.81;1.0;1.0;13.807;Attivo - gestito;;15
H10102-W1;MANIGLIA INCASSO PER SCORREVOLE BIANCA;CF;13.81;1.0;1.0;13.807;Attivo - gestito;;15
H10103-B1;MANIGLIA DI TRAINO PER SCORREVOLE NERA;CF;9.39;1.0;1.0;9.387;Attivo - gestito;;15
H10103-S1;MANIGLIA DI TRAINO PER SCORREVOLE ARG.;CF;9.39;1.0;1.0;9.387;Attivo - gestito;;15
H10103-W1;MANIGLIA DI  TRAINO PER SCORREVOLE BIANC;CF;9.39;1.0;1.0;9.387;Attivo - gestito;;15
H10201;S140 - COPPIA CARRELLI ADD. PER ALZANTE;CF;78.78;1.0;1.0;78.78;Attivo - gestito;;15
H10203;S140 - KIT CARRELLI PER SCORREVOLE;CF;14.57;2.0;1.0;7.287;Attivo - gestito;;15
H10204;S140 - KIT CARRELLI SUPPLEMENTARI;CF;14.57;2.0;1.0;7.287;Attivo - gestito;;15
H10400;S140 -CONF.ACC.CON PUNTO CHIUSURA 9.5MM;CF;21.22;1.0;1.0;21.22;Attivo - gestito;;15
H10401;S140-KIT CONTROPIASTRA DI FISSAGGIO INCO;CF;12.47;2.0;1.0;6.236;Attivo - gestito;;15
H10402;S140-MEC.ALZ .SCOR. PER ANTA H1370-1970;CF;84.3;1.0;1.0;84.3;Attivo - gestito;;15
H10403;S140-MEC.ALZ.SCOR.PER ANTA H1971-2270;CF;84.41;1.0;1.0;84.41;Attivo - gestito;;15
H10404;S140-MECC.ALZ.SCORR. PER ANTA H2271-2570;CF;84.96;1.0;1.0;84.96;Attivo - gestito;;15
H10405;S140-MEC.ALZ.SCOR. PER ANTA H2571-2870;CF;88.38;1.0;1.0;88.38;Attivo - gestito;;15
H10419;S140 - SERRATURA 2 PUNTI;CF;57.82;2.0;1.0;28.91;Attivo - gestito;;15
H10420;S140 - SERRATURA 3 PUNTI;CF;80.66;2.0;1.0;40.33;Attivo - gestito;;15
H10421;S140 - SERRATURA 3 PUNTI PRED CILINDRO;CF;135.51;2.0;1.0;67.755;Attivo - gestito;;15
H10600;S140 - KIT PER ALZANTE SCORR.(MAX.270);CF;128.02;1.0;1.0;128.02;Attivo - gestito;;15
H10601;S140 - KIT ALZ SCORR ANTA CENTR(MAX.270);CF;91.6;1.0;1.0;91.6;Attivo - gestito;;15
H10902;S140 - ASTA DI COLLEGAMENTO 2000;CF;15.78;1.0;1.0;15.784;Attivo - gestito;;15
H10904;S140 - ASTA DI COLLEGAMENTO 3230;CF;25.61;1.0;1.0;25.61;Attivo - gestito;;15
H10905;S140 - COVER FINITURA MECCANISMO (L=600;CF;27.59;1.0;1.0;27.59;Attivo - gestito;;15
H10906;S140 - SPESSORI DA 0.5 MM PER PUNTO DI C;CF;7.01;1.0;1.0;7.007;Attivo - gestito;;15
H10913;S140 - DISPOSITIVO ANTI FALSA MANOVRA;CF;2.91;1.0;1.0;2.908;Attivo - gestito;;15
H11100-S2;S146LM MANIGLIA INT.ANODIZZATA ARGENTO;CF;39.95;1.0;1.0;39.95;Attivo - gestito;;15
H11101-B1;S146LM MANIGLIA INTERNA NERA;CF;39.42;1.0;1.0;39.42;Attivo - gestito;;15
H11102-B1;S146LM MANIGLIA ESTERNA NERA;CF;13.47;1.0;1.0;13.465;Attivo - gestito;;15
H11102-S2;S146LM MANIGLIA ESTERNA ANODIZZATA ARG;CF;19.93;1.0;1.0;19.934;Attivo - gestito;;15
H11123-B1;S146LM-KIT MAN. FISSA PER XXXX R.9005;CF;17.27;1.0;1.0;17.274;Attivo - gestito;;15
H11123-S2;S146LM-KIT MAN. FISSA PER XXXX SILV.ANOD;CF;20.64;1.0;1.0;20.64;Attivo - gestito;;15
H11200;S146LM KIT CARRELLI, PORTATA 350 KG;CF;34.1;2.0;1.0;17.05;Attivo - gestito;;15
H11203P1;S146LM CARRELLO REGOLABILE 200 KG;CF;29.15;2.0;1.0;14.575;Attivo - gestito;;15
H11401;S146LM MECCANISMO DI CHIUSURA;CF;5.08;1.0;1.0;5.082;Attivo - gestito;;15
H11406;S146LM PUNTO DI CHIUSURA;CF;5.53;1.0;1.0;5.527;Attivo - gestito;;15
H11407P1;S146LM ASTA 1 PUNTO DI CHIUSURA;CF;22.84;2.0;1.0;11.42;Attivo - gestito;;15
H11408P1;S146LM ASTA 2 PUNTI DI CHIUSURA;CF;26.59;2.0;1.0;13.295;Attivo - gestito;;15
H11409P1;S146LM ASTA 3 PUNTI DI CHIUSURA;CF;48.55;2.0;1.0;24.275;Attivo - gestito;;15
H11410P1;S146LM ASTA 4 PUNTI DI CHIUSURA;CF;61.25;2.0;1.0;30.625;Attivo - gestito;;15
H11600;S146LM KIT DI FISSAGGIO ANTA OX;CF;12.26;1.0;1.0;12.255;Attivo - gestito;;15
H11604;S146LM SUPPORTO PER INCONTRO 4 ANTE 92;CF;6.62;1.0;1.0;6.624;Attivo - gestito;;15
H11606;S146LM SUPPORTO INCONTRO 4 ANTE 135MM;CF;8.94;1.0;1.0;8.942;Attivo - gestito;;15
H11607;S146LM INCONTRO ANTI-FALSA MANOVRA;CF;2.88;1.0;1.0;2.877;Attivo - gestito;;15
H19109-B1;NOVAE RONDO MANIG.SING. SEN/CHIAV R.9005;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;15
H19109-R2;NOVAE RONDO MANIG.SING. SEN/CHIAV ORO;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;15
H19109-S1;NOVAE RONDO MANIG.SING. SEN/CHIAV SILVER;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;15
H19109-T3;NOVAE RONDO MANIG.SING. SEN.CHIAV TITOP;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;15
H19109-W1;NOVAE RONDO MANIG.SING. SEN/CHIAV R.9010;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;15
H19110-B1;NOVAE RONDO MANIG.SING. C/CHIAV R.9005;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;15
H19110-R2;NOVAE RONDO MANIG.SING. C/CHIAV ORO;CF;52.42;1.0;20.0;52.42;Attivo - gestito;;16
H19110-S1;NOVAE RONDO MANIG.SING. C/CHIAV SILVER;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19110-T3;NOVAE RONDO MANIG.SING. C/CHIAV TIT.OPAC;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;16
H19110-W1;NOVAE RONDO MANIG.SING. C/CHIAV R.9010;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19111-B1;NOVAE RONDO MANIG. DOPPIO C/CHIAV R9005;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19111-R2;NOVAE RONDO MANIG. DOPPIO C/CHIAV ORO;CF;104.84;1.0;1.0;104.84;Attivo - gestito;;16
H19111-S1;NOVAE RONDO MANIG. DOPPIO C/CHIAV SILVER;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19111-T3;NOVAE RONDO MANIG. DOPPIO C/CHIAV TIT.OP;CF;104.84;1.0;1.0;104.84;Attivo - gestito;;16
H19111-W1;NOVAE RONDO MANIG. DOPPIO C/CHIAV R9010;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19112-B1;NOVAE QUADRA MANIG.SING. S/CHIAV.R.9005;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19112-R2;NOVAE QUADRA MANIG.SING. S/CHIAV. ORO;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;16
H19112-S1;NOVAE QUADRA MANIG.SING. S/CHIAV.SILVER;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19112-T3;NOVAE QUADRA MANIG.SING. S/CHIAV.TIT.OP;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;16
H19112-W1;NOVAE QUADRA MANIG.SING. S/CHIAV.R.9010;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19113-B1;NOVAE QUADRA MANIG.SING. C/CHIAVE R.9005;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19113-R2;NOVAE QUADRA MANIG.SING. C/CHIAVE ORO;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;16
H19113-S1;NOVAE QUADRA MANIG.SING. C/CHIAVE SILVER;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19113-T3;NOVAE QUADRA MANIG.SING. C/CHIAVE TIT.OP;CF;52.42;1.0;1.0;52.42;Attivo - gestito;;16
H19113-W1;NOVAE QUADRA MANIG.SING. C/CHIAVE R.9010;CF;38.36;1.0;1.0;38.36;Attivo - gestito;;16
H19114-B1;NOVAE QUADRA MAN.DOPPIO C/CHIAVE R.9005;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19114-R2;NOVAE QUADRA MAN.DOPPIO C/CHIAVE ORO;CF;104.84;1.0;1.0;104.84;Attivo - gestito;;16
H19114-S1;NOVAE QUADRA MAN.DOPPIO C/CHIAVE SILVER;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19114-T3;NOVAE QUADRA MAN.DOPPIO C/CHIAVE TIT.OP.;CF;104.84;1.0;1.0;104.84;Attivo - gestito;;16
H19114-W1;NOVAE QUADRA MAN.DOPPIO C/CHIAVE R.9010;CF;76.7;1.0;1.0;76.7;Attivo - gestito;;16
H19115-B1;MANIGLIA DI TRAINO ESTERNO R.9005;CF;9.71;1.0;1.0;9.708;Attivo - gestito;;16
H19115-R2;MANIGLIA DI TRAINO ESTERNO ORO;CF;13.07;1.0;1.0;13.073;Attivo - gestito;;16
H19115-S1;MANIGLIA DI TRAINO ESTERNO SILVER;CF;9.71;1.0;1.0;9.708;Attivo - gestito;;16
H19115-T3;MANIGLIA DI TRAINO ESTERNO TIT.OPACO;CF;13.07;1.0;1.0;13.073;Attivo - gestito;;16
H19115-W1;MANIGLIA DI TRAINO ESTERNO R.9010;CF;9.71;1.0;1.0;9.708;Attivo - gestito;;16
H19142-B1;MARTELLINA DISASSATA DX NERA;CF;19.32;1.0;1.0;19.324;Attivo - gestito;;16
H19142-S1;MARTELLINA DISASSATA DX ARG.;CF;19.32;1.0;1.0;19.324;Attivo - gestito;;16
H19142-W1;MARTELLINA DISASSATA DX BIANCA;CF;19.32;1.0;1.0;19.324;Attivo - gestito;;16
H19143-B1;MARTELLINA DISASSATA SX NERA;CF;19.32;1.0;1.0;19.323;Attivo - gestito;;16
H19143-S1;MARTELLINA DISASSATA SX ARG.;CF;19.32;1.0;1.0;19.324;Attivo - gestito;;16
H19143-W1;MARTELLINA DISASSATA SX  BIANCA;CF;19.32;1.0;1.0;19.324;Attivo - gestito;;16
H19144-B1;DOPPIA MARTELLINA DISASSATA NERA;CF;34.77;1.0;1.0;34.77;Attivo - gestito;;16
H19144-S1;DOPPIA MARTELLINA DISASSATA ARGENTO;CF;34.77;1.0;1.0;34.77;Attivo - gestito;;16
H19144-W1;DOPPIA MARTELLINA DISASSATA BIANCA;CF;34.77;1.0;1.0;34.77;Attivo - gestito;;16
H19151-B1;MANIGLIA L. DI TRAINO ESTERNO R.9005;CF;13.02;1.0;1.0;13.02;Attivo - gestito;;16
H19151-L1;MANIGLIA L. DI TRAINO ESTERNO ACC.SAT.OP;CF;20.31;1.0;1.0;20.31;Attivo - gestito;;16
H19151-L3;MANIGLIA L. DI TRAINO ESTERNO RAME SATIN;CF;20.31;1.0;1.0;20.31;Attivo - gestito;;16
H19151-L5;MANIGLIA L. DI TRAINO ESTERNO NICHEL SAT;CF;20.31;1.0;1.0;20.31;Attivo - gestito;;16
H19151-L6;MANIGLIA L. DI TRAINO ESTERNO CROMO NERO;CF;20.31;1.0;1.0;20.31;Attivo - gestito;;16
H19151-S1H;MANIGLIA L. DI TRAINO ESTERNO SILVER;CF;15.68;1.0;1.0;15.68;Attivo - gestito;;16
H19151-T3;MANIGLIA L. DI TRAINO ESTERNO TIT.OPACO;CF;20.31;1.0;1.0;20.31;Attivo - gestito;;16
H19151-W1;MANIGLIA L. DI TRAINO ESTERNO R.9010;CF;13.02;1.0;1.0;13.02;Attivo - gestito;;16
H19152-B1;NOVAE LINEA MANIG.SING. S/CHIAV.R.9005;CF;52.5;1.0;1.0;52.5;Attivo - gestito;;16
H19152-L1;NOVAE LINEA MANIG.SING. S/CHIAV.ACC.SAT.;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19152-L3;NOVAE LINEA MANIG.SING. S/CHIAV.RAME SAT;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19152-L5;NOVAE LINEA MANIG.SING. S/CHIAV.NICH.SAT;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19152-L6;NOVAE LINEA MANIG.SING. S/CHIAV.CROMO NE;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19152-S1H;NOVAE LINEA MANIG.SING. S/CHIAV.SILVER;CF;55.6;1.0;1.0;55.6;Attivo - gestito;;16
H19152-T3;NOVAE LINEA MANIG.SING. S/CHIAV.TIT.OP;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19152-W1;NOVAE LINEA MANIG.SING. S/CHIAV.R.9010;CF;52.5;1.0;1.0;52.5;Attivo - gestito;;16
H19153-B1;NOVAE LINEA MANIG.SING. C/CHIAV.R.9005;CF;52.5;1.0;1.0;52.5;Attivo - gestito;;16
H19153-L1;NOVAE LINEA MANIG.SING. C/CHIAV.ACC.SAT;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19153-L3;NOVAE LINEA MANIG.SING. C/CHIAV.RAME SAT;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19153-L5;NOVAE LINEA MANIG.SING. C/CHIAV.NIC.SAT;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19153-L6;NOVAE LINEA MANIG.SING. C/CHIAV.CROMO NE;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19153-S1H;NOVAE LINEA MANIG.SING. C/CHIAV.SILVER;CF;55.6;1.0;1.0;55.6;Attivo - gestito;;16
H19153-T3;NOVAE LINEA MANIG.SING. C/CHIAV.TIT.OPAC;CF;83.86;1.0;1.0;83.86;Attivo - gestito;;16
H19153-W1;NOVAE LINEA MANIG.SING. C/CHIAV.R.9010;CF;52.5;1.0;1.0;52.5;Attivo - gestito;;16
H19154-B1;NOVAE LINEA MAN.DOPPIO C/CHIAVE R.9005;CF;104.98;1.0;1.0;104.98;Attivo - gestito;;16
H19154-L1;NOVAE LINEA MAN.DOPPIO C/CHIAVE ACC.SAT;CF;167.71;1.0;1.0;167.71;Attivo - gestito;;17
H19154-L3;NOVAE LINEA MAN.DOPPIO C/CHIAVE RAME SAT;CF;167.71;1.0;1.0;167.71;Attivo - gestito;;17
H19154-L5;NOVAE LINEA MAN.DOPPIO C/CHIAVE NICHEL S;CF;167.71;1.0;1.0;167.71;Attivo - gestito;;17
H19154-L6;NOVAE LINEA MAN.DOPPIO C/CHIAVE CROMO NE;CF;167.71;1.0;1.0;167.71;Attivo - gestito;;17
H19154-S1H;NOVAE LINEA MAN.DOPPIO C/CHIAVE SILVER;CF;111.2;1.0;1.0;111.2;Attivo - gestito;;17
H19154-T3;NOVAE LINEA MAN.DOPPIO C/CHIAVE TIT.OP;CF;167.71;1.0;1.0;167.71;Attivo - gestito;;17
H19154-W1;NOVAE LINEA MAN.DOPPIO C/CHIAVE R.9010;CF;104.98;1.0;1.0;104.98;Attivo - gestito;;17
H20501;KIT CHIUSURE PER BILICO KG 175;CF;87.96;1.0;1.0;87.96;Attivo - gestito;;17
H20504;SERR. E=55 PIAT2400X3/24 3SCROCC 2 GANCI;CF;139.05;1.0;1.0;139.05;Attivo - gestito;;17
H20507;INC.SUPERIORE INFERIORE PER PORTABALCONE;CF;14.57;1.0;1.0;14.573;Attivo - gestito;;17
H20508;INCONTRO CENTRALE DX PER PORTABALCONE;CF;28.93;1.0;1.0;28.93;Attivo - gestito;;17
H20509;INCONTRO CENTRALE SX PER PORTABALCONE;CF;28.93;1.0;1.0;28.93;Attivo - gestito;;17
H43121-B1;NOVAE R.IMPUG. C/BASE NERO;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43121-R2;NOVAE R.IMPUG. C/BASE ORO;CF;14.24;1.0;1.0;14.242;Attivo - gestito;;17
H43121-S1H;NOVAE R.IMPUG. C/BASE ARG.L;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43121-T3;NOVAE R.IMPUG. C/BASE TIT.OP;CF;14.24;1.0;1.0;14.242;Attivo - gestito;;17
H43121-W1;NOVAE R.IMPUG. C/BASE BIANCO;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43122-B1;NOVAE Q.IMPUG. C/BASE NERO;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43122-R2;NOVAE Q.IMPUG. C/BASE ORO;CF;14.24;1.0;1.0;14.242;Attivo - gestito;;17
H43122-S1H;NOVAE Q.IMPUG. C/BASE ARG.L;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43122-T3;NOVAE Q.IMPUG. C/BASE TIT.OP;CF;14.24;1.0;1.0;14.242;Attivo - gestito;;17
H43122-W1;NOVAE Q.IMPUG. C/BASE BIANCO;CF;7.07;1.0;1.0;7.069;Attivo - gestito;;17
H43123-B1;NOVAE R.IMPUG. C/BASE  C/CH NERO;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43123-S1H;NOVAE R.IMPUG. C/BASE  C/CH ARG.L;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43123-W1;NOVAE R.IMPUG. C/BASE  C/CH BIANCO;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43124-B1;NOVAE Q.IMPUG. C/BASE  C/CH NERO;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43124-S1H;NOVAE Q.IMPUG. C/BASE  C/CH ARG.L;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43124-W1;NOVAE Q.IMPUG. C/BASE  C/CH BIANCO;CF;29.14;1.0;1.0;29.14;Attivo - gestito;;17
H43125;MECC.NOVAE IMPUG.C/BASE L=25 MM;CF;4.72;1.0;1.0;4.72;Attivo - gestito;;17
H43126;MECC.T&T NOVAE IMPUG.C/BASE C/CH L=25 MM;CF;6.24;1.0;1.0;6.241;Attivo - gestito;;17
H43127;MECC.TBT NOVAE IMPUG.C/BASE C/CH L=25 MM;CF;6.24;1.0;1.0;6.241;Attivo - gestito;;17
H43304-B1;CERN. PORTA 2 ALI INTERASSE 62,5 R.9005;CF;18.65;1.0;1.0;18.651;Attivo - gestito;;17
H43304-S1;CERN. PORTA 2 ALI INTERASSE 62,5 SILVER;CF;18.65;1.0;1.0;18.651;Attivo - gestito;;17
H43304-W1;CERN. PORTA 2 ALI INTERASSE 62,5 R.9010;CF;18.65;1.0;1.0;18.651;Attivo - gestito;;17
H43305-B1;CERN. PORTA 3 ALI INTERASSE 62,5 R.9005;CF;29.02;1.0;1.0;29.02;Attivo - gestito;;17
H43305-S1;CERN. PORTA 3 ALI INTERASSE 62,5 SILVER;CF;29.02;1.0;1.0;29.02;Attivo - gestito;;17
H43305-W1;CERN. PORTA 3 ALI INTERASSE 62,5 R.9010;CF;29.02;1.0;1.0;29.02;Attivo - gestito;;17
H43306-B1;CERN. PORTA 2 ALI INTERASSE 70,5 R.9005;CF;19.1;1.0;1.0;19.096;Attivo - gestito;;17
H43306-S1;CERN. PORTA 2 ALI INTERASSE 70,5 SILVER;CF;19.1;1.0;1.0;19.096;Attivo - gestito;;17
H43306-W1;CERN. PORTA 2 ALI INTERASSE 70,5 R.9010;CF;19.1;1.0;1.0;19.096;Attivo - gestito;;17
H43307-B1;CERN. PORTA 3 ALI INTERASSE 70,5 R.9005;CF;29.47;1.0;1.0;29.47;Attivo - gestito;;17
H43307-S1;CERN. PORTA 3 ALI INTERASSE 70,5  SILVER;CF;29.47;1.0;1.0;29.47;Attivo - gestito;;17
H43307-W1;CERN. PORTA 3 ALI INTERASSE 70,5  R.9010;CF;29.47;1.0;1.0;29.47;Attivo - gestito;;17
H43310-B1;CERN. PORTA 2 ALI INTERASSE 84MM R.9005;CF;19.53;1.0;1.0;19.53;Attivo - gestito;;17
H43310-S1;CERN. PORTA 2 ALI INTERASSE 84MM SILVER;CF;19.53;1.0;1.0;19.53;Attivo - gestito;;17
H43310-W1;CERN. PORTA 2 ALI INTERASSE 84MM R.9010;CF;19.53;1.0;1.0;19.53;Attivo - gestito;;17
H43311-B1;CERN. PORTA 3 ALI INTERASSE 84MM R.9005;CF;30.68;1.0;1.0;30.68;Attivo - gestito;;17
H43311-S1;CERN. PORTA 3 ALI INTERASSE 84MM SILVER;CF;30.68;1.0;1.0;30.68;Attivo - gestito;;17
H43311-W1;CERN. PORTA 3 ALI INTERASSE 84MM  R9010;CF;30.68;1.0;1.0;30.68;Attivo - gestito;;17
H43400;COPPIA BRACCETTI LIMITATORI;CF;34.65;1.0;1.0;34.65;Attivo - gestito;;17
H43502;KIT FISSAGGIO MANIGLIA C67K;CF;8.89;10.0;1.0;0.889;Attivo - gestito;;17
H43518;KIT PIASTRE DI RINFORZO PER CERN.SPORGER;CF;10.55;4.0;1.0;2.637;Attivo - gestito;;17
H43605;KIT FISSAGGIO CERNIERA 2 ALI - VITE 38MM;CF;8.06;1.0;1.0;8.063;Attivo - gestito;;17
H43606;KIT FISSAGGIO CERNIERA 3 ALI - VITE 38MM;CF;9.99;1.0;1.0;9.988;Attivo - gestito;;17
H43607;VITI FISSAGGIO CERNIERA PORTE M8X50;CF;18.54;20.0;1.0;0.927;Attivo - gestito;;17
H43909-B1;45N-55N-SPESS.10MM CERN.FR.POR.R9005;CF;35.31;10.0;1.0;3.531;Attivo - gestito;;17
H43909-S1;45N-55N-SPESS.10MM CERN.FR.POR.SILVER;CF;35.31;10.0;1.0;3.531;Attivo - gestito;;17
H43909-W1;45N-55N-SPESS.10MM CERN.FR.POR.R9010;CF;35.31;10.0;1.0;3.531;Attivo - gestito;;17
H43917;VITI DI FISSAGGIO M12X65;CF;18.77;20.0;1.0;0.938;Attivo - gestito;;17
H43918;VITI DI FISSAGGIO M12X75;CF;20.97;20.0;1.0;1.049;Attivo - gestito;;17
H47000-B1;NOVAE R.CREM.1F AK+ NERO;CF;12.59;1.0;1.0;12.586;Attivo - gestito;;17
H47000-S1H;NOVAE R.CREM.1F AK+ ARG.L;PZ;16.82;1.0;1.0;16.819;Attivo - gestito;;17
H47000-W1;NOVAE R.CREM.1F AK+ BIANCO;PZ;12.59;1.0;1.0;12.586;Attivo - gestito;;17
H47001-B1;NOVAE Q.CREM.1F AK+ NERO;PZ;12.59;1.0;1.0;12.586;Attivo - gestito;;18
H47001-S1H;NOVAE Q.CREM.1F AK+ ARG.L;PZ;16.82;1.0;1.0;16.819;Attivo - gestito;;18
H47001-W1;NOVAE Q.CREM.1F AK+ BIANCO;PZ;12.59;1.0;1.0;12.586;Attivo - gestito;;18
H47002-B1;NOVAE R.CREM.1F AK+ C/CH T&T NERO;PZ;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47002-S1H;NOVAE R.CREM.1F AK+ C/CH T&T ARG.L;PZ;33.54;1.0;1.0;33.54;Attivo - gestito;;18
H47002-W1;NOVAE R.CREM.1F AK+ C/CH T&T BIANCO;PZ;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47003-B1;NOVAE Q.CREM.1F AK+ C/CH T&T NERO;PZ;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47003-S1H;NOVAE Q.CREM.1F AK+ C/CH T&T ARG.L;PZ;33.54;1.0;1.0;33.54;Attivo - gestito;;18
H47003-W1;NOVAE Q.CREM.1F AK+ C/CH T&T BIANCO;PZ;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47004-B1;SOFTLINE CREM.1F NERO;CF;12.59;1.0;1.0;12.586;Attivo - gestito;;18
H47004-W1;SOFTLINE CREM.1F BIANCO;CF;12.59;1.0;1.0;12.586;Attivo - gestito;;18
H47009-B1;NOVAE R.CREM.1F AK+ C/CH TBT NERO;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47009-S1H;NOVAE R.CREM.1F AK+ C/CH TBT ARG.L;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47009-W1;NOVAE R.CREM.1F AK+ C/CH TBT BIANCO;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47010-B1;NOVAE Q.CREM.1F AK+ C/CH TBT NERO;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47010-S1H;NOVAE Q.CREM.1F AK+ C/CH TBT ARG.L;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47010-W1;NOVAE Q.CREM.1F AK+ C/CH TBT BIANCO;CF;32.44;1.0;1.0;32.44;Attivo - gestito;;18
H47800;C67K - FORCELLA PER CREMONESE SPORGERE;CF;9.66;5.0;1.0;1.931;Attivo - gestito;;18
H48030-B1;NOVAE R.CREM.SPORG.NERO;PZ;15.43;1.0;1.0;15.432;Attivo - gestito;;18
H48030-S1H;NOVAE R.CREM.SPORG.ARG;CF;15.43;1.0;1.0;15.432;Attivo - gestito;;18
H48030-W1;NOVAE R.CREM.SPORG.BIANCO;CF;15.43;1.0;1.0;15.432;Attivo - gestito;;18
H48102;MECC.NOVAE IMPUG. NO-BASE;CF;4.7;1.0;1.0;4.699;Attivo - gestito;;18
H48103-B1;NOVAE R.IMPUG. NO/BASE NERO;CF;8.73;1.0;1.0;8.725;Attivo - gestito;;18
H48103-R2;NOVAE R.IMPUG. NO/BASE ORO;CF;14.24;1.0;1.0;14.242;Attivo - gestito;;18
