Codice;Prezzo;Unità
102376;3.97;1
102377;2.14;1
102395;9.88;1
102405;8.70;1
102406;8.70;1
102427;10.84;1
102431;4.97;1
102445;17.26;1
102446;4.98;1
102447;5.10;1
102448;2.31;1
102449;2.52;1
102469;5.50;1
102470;12.47;1
102471;12.47;1
102473;5.65;1
102475;4.42;1
102476;5.59;1
102477;4.77;1
102480;5.00;1
102481;5.27;1
102483;5.17;1
102490;4.62;1
102491;4.00;1
102501;3.64;1
102509;4.90;1
102510;4.93;1
102512;5.00;1
102520;15.59;1
102522;17.09;1
102524;17.27;1
102525;12.89;1
102526;12.89;1
102527;3.23;1
102545;3.09;1
102550;54.61;100
102551;58.84;100
102558;7.41;1
102574;10.11;1
102636;4.93;1
102645;13.15;1
102669;5.33;1
102686;9.70;1
102687;9.70;1
102688;7.74;1
102689;7.74;1
102690;9.74;1
102691;9.74;1
102692;11.63;1
102693;11.63;1
102730;34.53;1
102731;6.31;1
102740;27.13;1
102741;27.13;1
102842;33.79;1
102843;33.79;1
102846;34.90;1
102847;34.90;1
102851;33.79;1
102852;11.32;1
102859;14.46;1
102867;4.74;1
102872;4.55;1
102879;5.03;1
102880;3.27;1
102885;13.54;1
102886;4.35;1
102888;10.42;1
102889;14.41;1
102890;15.43;1
102944;4.83;1
102945;10.43;1
102946;9.57;1
102947;11.23;1
102948;1.64;1
102949;3.01;1
102950;4.83;1
102951;4.83;1
102952;80.19;1
102953;85.56;1
102956;89.35;1
102998;6.69;1
103001;15.62;1
103002;10.39;1
103045;94.74;1
103060;85.55;100
103063;57.47;1
103064;57.47;1
103065;70.41;1
103066;70.41;1
103067;172.34;1
103068;172.34;1
103069;201.87;1
103070;201.87;1
103071;110.63;1
103073;50.62;1
103074;50.62;1
103075;51.80;1
103076;51.80;1
103077;51.80;1
103080;5.60;1
103098;37.28;1
103099;6.98;1
103111;24.17;100
103140;11.90;1
103141;9.41;1
103143;6.25;1
103157;29.28;1
103169;7.31;1
103170;11.86;1
103171;17.56;1
103172;16.96;1
103178;15.63;1
103179;9.79;1
103180;4.83;1
103181;19.20;1
103201;10.18;1
103202;12.09;1
103239;18.10;1
103261;6.17;1
103288;11.44;1
103289;11.44;1
103290;4.77;1
103302;19.21;1
103303;13.35;1
103318;12.71;1
103319;14.05;1
103320;2.44;1
103321;91.67;1
103339;15.34;1
103340;18.52;1
103342;9.95;1
103345;17.96;1
103354;8.75;1
103355;8.75;1
103356;8.67;1
103357;8.67;1
103358;9.76;1
103359;9.76;1
103364;10.97;1
103365;10.97;1
103368;9.02;1
103369;9.02;1
103370;8.93;1
103371;8.93;1
103394;3.27;1
103395;3.27;1
103413;6.74;1
103421;5.33;1
103424;18.20;1
103559;65.45;1
103560;65.45;1
103566;37.16;1
103567;37.28;1
103568;37.16;1
103583;24.28;1
103585;9.26;1
103586;9.63;1
103587;10.00;1
10359;24.30;1
103623;6.54;1
103624;7.94;1
103625;8.00;1
103626;8.47;1
103629;43.20;1
103631;42.84;1
103632;46.67;1
103633;57.47;1
103634;52.25;1
103638;46.67;1
103639;57.47;1
103640;52.25;1
103644;46.67;1
103645;57.47;1
103646;52.25;1
103650;46.67;1
103651;57.47;1
103652;52.25;1
103656;48.18;1
103662;55.41;1
103666;86.75;1
103667;94.33;1
103668;86.75;1
103669;94.33;1
103670;94.33;1
103674;86.75;1
103675;94.33;1
103676;94.33;1
103690;4.96;1
103772;52.99;1
103773;52.99;1
103783;5.19;1
103786;38.82;1
10380;34.14;1
103808;81.32;1
10381;43.99;1
103814;46.67;1
103815;57.47;1
103816;52.25;1
10382;43.99;1
103820;60.98;1
103826;85.36;1
103827;108.47;1
103828;94.33;1
10383;53.34;1
103832;3.24;1
103833;3.24;1
103834;3.33;1
103835;17.04;1
103836;18.74;1
103837;18.74;1
103838;18.74;1
103839;18.74;1
10384;53.34;1
103840;18.74;1
103841;18.74;1
103843;40.65;1
10385;67.26;1
10386;67.26;1
10387;73.84;1
103874;3.32;1
103875;3.32;1
10389;73.84;1
10390;88.96;1
10391;88.96;1
103976;9.83;1
104010;5.25;100
104024;3.24;1
104033;5.11;1
104034;4.82;1
104035;4.73;1
104036;5.14;1
104037;4.54;1
104053;5.16;1
104054;5.61;1
104055;4.96;1
104056;4.95;1
104057;5.37;1
104061;1.02;1
104062;1.02;1
104065;1.02;1
104066;1.02;1
104067;1.02;1
104068;1.02;1
104073;92.01;1
104083;13.54;1
104084;22.09;1
104085;78.78;1
104105;12.71;1
104114;12.71;1
104130;100.05;1
104134;77.62;1
104167;3.24;1
104176;8.17;1
104204;69.07;1
104206;2.22;1
104209;6.65;1
104213;4.91;1
104247;46.70;1
104248;57.47;1
104249;52.25;1
104256;0.80;1
104296;7.18;1
104304;18.93;1
104305;19.89;1
104346;21.92;100
104348;28.46;100
104351;45.12;100
104385;26.70;1
104386;21.02;1
104388;113.24;1
104548;11.69;100
104570;0.79;1
104617;5.36;1
104621;90.15;1
104624;5.03;1
104625;7.28;1
104652;7.45;1
104653;41.17;1
104654;5.26;1
104666;73.05;1
104667;44.74;1
104668;92.76;1
104669;19.68;1
104674;58.87;1
104678;122.08;1
104681;23.96;1
104682;49.68;1
104683;7.93;1
104684;7.93;1
104685;9.72;1
104686;9.72;1
104687;10.58;1
104689;10.58;1
104690;5.12;1
104709;76.70;1
104717;191.67;1
104732;7.61;1
104739;8.28;1
104779;13.96;1
104780;13.96;1
104781;6.35;1
104782;5.14;1
104783;51.01;1
104784;51.01;1
104785;4.36;1
104786;4.71;1
104787;4.77;1
104788;8.75;1
104789;11.71;1
104790;1.18;1
104791;3.02;1
104792;2.17;1
104793;3.67;1
104794;12.13;1
104795;74.73;100
104796;74.70;100
104797;77.82;100
104798;79.31;100
104799;1.21;1
104821;2.12;1
104822;14.82;1
104823;14.82;1
104826;2.70;1
104827;3.36;1
104828;3.36;1
104829;3.36;1
104830;7.03;1
104831;7.93;1
104832;8.87;1
104842;10.10;1
104843;4.31;1
104844;4.31;1
104845;11.21;1
104846;11.21;1
104852;43.66;1
104862;86.83;1
104863;12.35;1
104873;78.38;1
104928;7.91;1
104929;7.91;1
104941;28.21;100
104942;0.76;1
104996;4.97;1
105241;3.12;1
105242;4.47;1
105243;5.80;1
105248;5.15;1
105249;7.68;1
105260;46.67;1
105273;6.82;1
105299;30.02;1
105300;31.51;1
105301;67.64;1
105305;30.80;1
105306;32.33;1
105316;45.06;100
10534;2.04;1
10535;5.65;1
105359;122.06;1
105360;122.06;1
